Date : 2026-08-24 22:07:14
Directory : c:\Users\dryde\Documents\Mobile-Apps\my-expo-app
Total : 341 files,  57201 codes, 1166 comments, 4338 blanks, all 62705 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript JSX     |        319 |     38,836 |      1,107 |      4,143 |     44,086 |
| JSON               |          5 |     16,834 |          0 |          3 |     16,837 |
| JavaScript         |         12 |      1,380 |         53 |        185 |      1,618 |
| PostCSS            |          1 |        119 |          0 |          3 |        122 |
| JSON with Comments |          1 |         29 |          2 |          0 |         31 |
| Dotenv             |          1 |          3 |          0 |          2 |          5 |
| TypeScript         |          2 |          0 |          4 |          2 |          6 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                          |        341 |     57,201 |      1,166 |      4,338 |     62,705 |
| . (Files)                                                                                                                  |         16 |     17,212 |          9 |         25 |     17,246 |
| app                                                                                                                        |        325 |     39,989 |      1,157 |      4,313 |     45,459 |
| app (Files)                                                                                                                |          3 |        168 |          2 |         14 |        184 |
| app\(main)                                                                                                                 |        113 |     14,138 |        196 |      1,266 |     15,600 |
| app\(main) (Files)                                                                                                         |          3 |        187 |          2 |         23 |        212 |
| app\(main)\competitions                                                                                                    |         10 |      2,132 |         19 |        150 |      2,301 |
| app\(main)\competitions (Files)                                                                                            |          3 |        329 |          0 |         15 |        344 |
| app\(main)\competitions\[instanceId]                                                                                       |          2 |      1,010 |          8 |         96 |      1,114 |
| app\(main)\competitions\[instanceId] (Files)                                                                               |          1 |        945 |          8 |         83 |      1,036 |
| app\(main)\competitions\[instanceId]\[fixtureId]                                                                           |          1 |         65 |          0 |         13 |         78 |
| app\(main)\competitions\create-blueprint                                                                                   |          3 |        517 |          2 |         19 |        538 |
| app\(main)\competitions\initiate-competition                                                                               |          2 |        276 |          9 |         20 |        305 |
| app\(main)\home                                                                                                            |         31 |      2,667 |         28 |        203 |      2,898 |
| app\(main)\home (Files)                                                                                                    |          3 |        495 |          1 |         35 |        531 |
| app\(main)\home\[fixtureId]                                                                                                |         10 |      1,615 |         26 |        101 |      1,742 |
| app\(main)\home\[fixtureId] (Files)                                                                                        |          4 |      1,495 |         26 |         80 |      1,601 |
| app\(main)\home\[fixtureId]\[teamId]                                                                                       |          6 |        120 |          0 |         21 |        141 |
| app\(main)\home\[fixtureId]\[teamId] (Files)                                                                               |          3 |         65 |          0 |         11 |         76 |
| app\(main)\home\[fixtureId]\[teamId]\[userId]                                                                              |          2 |         47 |          0 |          7 |         54 |
| app\(main)\home\[fixtureId]\[teamId]\[userId] (Files)                                                                      |          1 |         40 |          0 |          4 |         44 |
| app\(main)\home\[fixtureId]\[teamId]\[userId]\player-stats                                                                 |          1 |          7 |          0 |          3 |         10 |
| app\(main)\home\[fixtureId]\[teamId]\team-stats                                                                            |          1 |          8 |          0 |          3 |         11 |
| app\(main)\home\fixtures                                                                                                   |          2 |         35 |          0 |          7 |         42 |
| app\(main)\home\help                                                                                                       |          2 |        274 |          1 |         10 |        285 |
| app\(main)\home\league                                                                                                     |          9 |        172 |          0 |         34 |        206 |
| app\(main)\home\league (Files)                                                                                             |          2 |         36 |          0 |          8 |         44 |
| app\(main)\home\league\[teamId]                                                                                            |          7 |        136 |          0 |         26 |        162 |
| app\(main)\home\league\[teamId] (Files)                                                                                    |          3 |         71 |          0 |         12 |         83 |
| app\(main)\home\league\[teamId]\[userId]                                                                                   |          3 |         58 |          0 |         11 |         69 |
| app\(main)\home\league\[teamId]\[userId] (Files)                                                                           |          2 |         51 |          0 |          8 |         59 |
| app\(main)\home\league\[teamId]\[userId]\player-stats                                                                      |          1 |          7 |          0 |          3 |         10 |
| app\(main)\home\league\[teamId]\team-stats                                                                                 |          1 |          7 |          0 |          3 |         10 |
| app\(main)\home\premium                                                                                                    |          1 |         29 |          0 |          4 |         33 |
| app\(main)\home\results                                                                                                    |          2 |         33 |          0 |          6 |         39 |
| app\(main)\home\transfers                                                                                                  |          2 |         14 |          0 |          6 |         20 |
| app\(main)\my-leagues                                                                                                      |          6 |      1,232 |         23 |         85 |      1,340 |
| app\(main)\my-leagues (Files)                                                                                              |          4 |        989 |         23 |         70 |      1,082 |
| app\(main)\my-leagues\[teamId]                                                                                             |          2 |        243 |          0 |         15 |        258 |
| app\(main)\onboarding                                                                                                      |         31 |      4,062 |         68 |        424 |      4,554 |
| app\(main)\onboarding (Files)                                                                                              |          1 |         56 |          0 |          7 |         63 |
| app\(main)\onboarding\(entity-onboarding)                                                                                  |         17 |      3,110 |         59 |        327 |      3,496 |
