Date : 2026-08-24 22:07:14
Directory : c:\Users\dryde\Documents\Mobile-Apps\my-expo-app
Total : 194 files,  8452 codes, 442 comments, 839 blanks, all 9733 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |        183 |      7,513 |        440 |        835 |      8,788 |
| JSON           |          3 |        822 |          0 |          0 |        822 |
| JavaScript     |          8 |        117 |          2 |          4 |        123 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                           |        194 |      8,452 |        442 |        839 |      9,733 |
| . (Files)                                                                                                   |          5 |        837 |         -2 |         -2 |        833 |
| app                                                                                                         |        189 |      7,615 |        444 |        841 |      8,900 |
| app (Files)                                                                                                 |          1 |         21 |         -1 |          0 |         20 |
| app\(main)                                                                                                  |         40 |      1,783 |         30 |        117 |      1,930 |
| app\(main) (Files)                                                                                          |          2 |        -18 |         -7 |         -9 |        -34 |
| app\(main)\competitions                                                                                     |          7 |        541 |          5 |         29 |        575 |
| app\(main)\competitions (Files)                                                                             |          2 |        190 |          0 |          7 |        197 |
| app\(main)\competitions\[instanceId]                                                                        |          2 |        100 |         -3 |         13 |        110 |
| app\(main)\competitions\[instanceId] (Files)                                                                |          1 |         90 |         -3 |         11 |         98 |
| app\(main)\competitions\[instanceId]\[fixtureId]                                                            |          1 |         10 |          0 |          2 |         12 |
| app\(main)\competitions\create-blueprint                                                                    |          2 |        131 |          0 |          0 |        131 |
| app\(main)\competitions\initiate-competition                                                                |          1 |        120 |          8 |          9 |        137 |
| app\(main)\home                                                                                             |          8 |        314 |         15 |          2 |        331 |
| app\(main)\home (Files)                                                                                     |          3 |         94 |          0 |          2 |         96 |
| app\(main)\home\[fixtureId]                                                                                 |          2 |          2 |         14 |         -9 |          7 |
| app\(main)\home\help                                                                                        |          1 |        204 |          1 |          3 |        208 |
| app\(main)\home\transfers                                                                                   |          2 |         14 |          0 |          6 |         20 |
| app\(main)\my-leagues                                                                                       |          1 |          2 |          0 |          0 |          2 |
| app\(main)\onboarding                                                                                       |          3 |       -273 |         -4 |        -21 |       -298 |
| app\(main)\onboarding (Files)                                                                               |          1 |         -5 |          0 |          0 |         -5 |
| app\(main)\onboarding\explore                                                                               |          2 |       -268 |         -4 |        -21 |       -293 |
| app\(main)\profile                                                                                          |          3 |        227 |          7 |         17 |        251 |
| app\(main)\rankings                                                                                         |          2 |        132 |          2 |          9 |        143 |
| app\(main)\rankings (Files)                                                                                 |          1 |         37 |          0 |          3 |         40 |
| app\(main)\rankings\podium                                                                                  |          1 |         95 |          2 |          6 |        103 |
