Date : 2026-04-12 21:40:51
Directory : c:\Users\dryde\Documents\Mobile-Apps\my-expo-app
Total : 162 files,  7822 codes, 224 comments, 787 blanks, all 8833 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |        157 |      7,762 |        221 |        774 |      8,757 |
| JavaScript     |          2 |         57 |          3 |         13 |         73 |
| JSON           |          2 |          2 |          0 |          0 |          2 |
| Dotenv         |          1 |          1 |          0 |          0 |          1 |
+----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                          |        162 |      7,822 |        224 |        787 |      8,833 |
| . (Files)                                                                                                                  |          4 |         18 |          0 |          2 |         20 |
| app                                                                                                                        |        158 |      7,804 |        224 |        785 |      8,813 |
| app (Files)                                                                                                                |          5 |       -230 |         -4 |        -27 |       -261 |
| app\(main)                                                                                                                 |         44 |      3,511 |         62 |        289 |      3,862 |
| app\(main) (Files)                                                                                                         |          2 |        105 |          7 |         11 |        123 |
| app\(main)\competitions                                                                                                    |          8 |      1,506 |         12 |        106 |      1,624 |
| app\(main)\competitions (Files)                                                                                            |          2 |        139 |          0 |          8 |        147 |
| app\(main)\competitions\[instanceId]                                                                                       |          1 |        825 |          9 |         68 |        902 |
| app\(main)\competitions\create-blueprint                                                                                   |          3 |        386 |          2 |         19 |        407 |
| app\(main)\competitions\initiate-competition                                                                               |          2 |        156 |          1 |         11 |        168 |
| app\(main)\home                                                                                                            |          8 |        939 |          7 |         61 |      1,007 |
| app\(main)\home (Files)                                                                                                    |          1 |        119 |          1 |         10 |        130 |
| app\(main)\home\[fixtureId]                                                                                                |          5 |        784 |          6 |         44 |        834 |
| app\(main)\home\[fixtureId] (Files)                                                                                        |          3 |        747 |          6 |         37 |        790 |
| app\(main)\home\[fixtureId]\[teamId]                                                                                       |          2 |         37 |          0 |          7 |         44 |
| app\(main)\home\[fixtureId]\[teamId] (Files)                                                                               |          1 |         29 |          0 |          4 |         33 |
| app\(main)\home\[fixtureId]\[teamId]\team-stats                                                                            |          1 |          8 |          0 |          3 |         11 |
| app\(main)\home\league                                                                                                     |          2 |         36 |          0 |          7 |         43 |
| app\(main)\home\league\[teamId]                                                                                            |          2 |         36 |          0 |          7 |         43 |
| app\(main)\home\league\[teamId] (Files)                                                                                    |          1 |         29 |          0 |          4 |         33 |
| app\(main)\home\league\[teamId]\team-stats                                                                                 |          1 |          7 |          0 |          3 |         10 |
| app\(main)\my-leagues                                                                                                      |          5 |        558 |         20 |         40 |        618 |
| app\(main)\my-leagues (Files)                                                                                              |          4 |        518 |         20 |         34 |        572 |
| app\(main)\my-leagues\[teamId]                                                                                             |          1 |         40 |          0 |          6 |         46 |
| app\(main)\onboarding                                                                                                      |         13 |        298 |          9 |         51 |        358 |
| app\(main)\onboarding (Files)                                                                                              |          1 |         16 |          0 |          2 |         18 |
| app\(main)\onboarding\(entity-onboarding)                                                                                  |          5 |        144 |          8 |         34 |        186 |
| app\(main)\onboarding\(profile-onboarding)                                                                                 |          5 |        138 |          1 |         15 |        154 |
| app\(main)\onboarding\season                                                                                               |          1 |          2 |          0 |          1 |          3 |
| app\(main)\onboarding\upgrade                                                                                              |          1 |         -2 |          0 |         -1 |         -3 |
| app\(main)\profile                                                                                                         |          1 |          0 |          0 |          1 |          1 |
| app\(main)\rankings                                                                                                        |          2 |         20 |          7 |          6 |         33 |
| app\(main)\rankings (Files)                                                                                                |          1 |          7 |          0 |          1 |          8 |
| app\(main)\rankings\podium                                                                                                 |          1 |         13 |          7 |          5 |         25 |
| app\(main)\settings                                                                                                        |          3 |         48 |          0 |          6 |         54 |
| app\(main)\teams                                                                                                           |          2 |         37 |          0 |          7 |         44 |
| app\(main)\teams\[userId]                                                                                                  |          2 |         37 |          0 |          7 |         44 |
| app\(main)\teams\[userId] (Files)                                                                                          |          1 |         29 |          0 |          4 |         33 |
| app\(main)\teams\[userId]\team-stats                                                                                       |          1 |          8 |          0 |          3 |         11 |
| app\auth                                                                                                                   |          5 |        622 |         12 |         70 |        704 |
| app\components                                                                                                             |         61 |      3,552 |         83 |        340 |      3,975 |
| app\contexts                                                                                                               |          3 |         15 |         13 |         12 |         40 |
| app\hooks                                                                                                                  |         36 |        801 |         73 |        160 |      1,034 |
| app\lib                                                                                                                    |          1 |         42 |          3 |         11 |         56 |
| app\login                                                                                                                  |          3 |       -509 |        -18 |        -70 |       -597 |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                   | language       | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\.env                                                                      | Dotenv         |          1 |          0 |          0 |          1 |
| c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app.config.js                                                             | JavaScript     |         15 |          0 |          2 |         17 |
| c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\_layout.jsx                                                    | JavaScript JSX |         23 |          6 |          5 |         34 |
| c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\[instanceId]\index.jsx                            | JavaScript JSX |        825 |          9 |         68 |        902 |
| c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\_layout.jsx                                       | JavaScript JSX |          5 |          0 |          3 |          8 |
| c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\create-blueprint\create-competition-rules.jsx     | JavaScript JSX |          6 |          0 |          3 |          9 |
| c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\create-blueprint\index.jsx                        | JavaScript JSX |        147 |          0 |          8 |        155 |
| c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\create-blueprint\requirements.jsx                 | JavaScript JSX |        233 |          2 |          8 |        243 |
| c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\index.jsx                                         | JavaScript JSX |        134 |          0 |          5 |        139 |
| c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\initiate-competition\index.jsx                    | JavaScript JSX |        150 |          1 |          8 |        159 |
| c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\initiate-competition\modify-competition-rules.jsx | JavaScript JSX |          6 |          0 |          3 |          9 |
| c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\[fixtureId]\[teamId]\compare-stats.jsx                    | JavaScript JSX |         29 |          0 |          4 |         33 |
| c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\[fixtureId]\[teamId]\team-stats\index.jsx                 | JavaScript JSX |          8 |          0 |          3 |         11 |
