Date : 2026-04-12 21:40:51
Directory : c:\Users\dryde\Documents\Mobile-Apps\my-expo-app
Total : 291 files,  44843 codes, 630 comments, 3034 blanks, all 48507 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript JSX     |        268 |     27,335 |        573 |      2,842 |     30,750 |
| JSON               |          5 |     15,988 |          0 |          3 |     15,991 |
| JavaScript         |         13 |      1,369 |         51 |        182 |      1,602 |
| PostCSS            |          1 |        119 |          0 |          3 |        122 |
| JSON with Comments |          1 |         29 |          2 |          0 |         31 |
| Dotenv             |          1 |          3 |          0 |          2 |          5 |
| TypeScript         |          2 |          0 |          4 |          2 |          6 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                          |        291 |     44,843 |        630 |      3,034 |     48,507 |
| . (Files)                                                                                                                  |         16 |     16,351 |         11 |         27 |     16,389 |
| app                                                                                                                        |        275 |     28,492 |        619 |      3,007 |     32,118 |
| app (Files)                                                                                                                |          3 |        147 |          3 |         14 |        164 |
| app\(main)                                                                                                                 |        110 |     11,520 |        159 |      1,059 |     12,738 |
| app\(main) (Files)                                                                                                         |          2 |        145 |          7 |         23 |        175 |
| app\(main)\competitions                                                                                                    |          8 |      1,506 |         12 |        106 |      1,624 |
| app\(main)\competitions (Files)                                                                                            |          2 |        139 |          0 |          8 |        147 |
| app\(main)\competitions\[instanceId]                                                                                       |          1 |        825 |          9 |         68 |        902 |
| app\(main)\competitions\create-blueprint                                                                                   |          3 |        386 |          2 |         19 |        407 |
| app\(main)\competitions\initiate-competition                                                                               |          2 |        156 |          1 |         11 |        168 |
| app\(main)\home                                                                                                            |         28 |      2,228 |         13 |        194 |      2,435 |
| app\(main)\home (Files)                                                                                                    |          2 |        384 |          1 |         33 |        418 |
| app\(main)\home\[fixtureId]                                                                                                |         10 |      1,505 |         12 |        103 |      1,620 |
| app\(main)\home\[fixtureId] (Files)                                                                                        |          4 |      1,385 |         12 |         82 |      1,479 |
| app\(main)\home\[fixtureId]\[teamId]                                                                                       |          6 |        120 |          0 |         21 |        141 |
| app\(main)\home\[fixtureId]\[teamId] (Files)                                                                               |          3 |         65 |          0 |         11 |         76 |
| app\(main)\home\[fixtureId]\[teamId]\[userId]                                                                              |          2 |         47 |          0 |          7 |         54 |
| app\(main)\home\[fixtureId]\[teamId]\[userId] (Files)                                                                      |          1 |         40 |          0 |          4 |         44 |
| app\(main)\home\[fixtureId]\[teamId]\[userId]\player-stats                                                                 |          1 |          7 |          0 |          3 |         10 |
| app\(main)\home\[fixtureId]\[teamId]\team-stats                                                                            |          1 |          8 |          0 |          3 |         11 |
| app\(main)\home\fixtures                                                                                                   |          2 |         35 |          0 |          7 |         42 |
| app\(main)\home\help                                                                                                       |          2 |         70 |          0 |          7 |         77 |
| app\(main)\home\league                                                                                                     |          9 |        172 |          0 |         34 |        206 |
| app\(main)\home\league (Files)                                                                                             |          2 |         36 |          0 |          8 |         44 |
| app\(main)\home\league\[teamId]                                                                                            |          7 |        136 |          0 |         26 |        162 |
| app\(main)\home\league\[teamId] (Files)                                                                                    |          3 |         71 |          0 |         12 |         83 |
| app\(main)\home\league\[teamId]\[userId]                                                                                   |          3 |         58 |          0 |         11 |         69 |
| app\(main)\home\league\[teamId]\[userId] (Files)                                                                           |          2 |         51 |          0 |          8 |         59 |
| app\(main)\home\league\[teamId]\[userId]\player-stats                                                                      |          1 |          7 |          0 |          3 |         10 |
| app\(main)\home\league\[teamId]\team-stats                                                                                 |          1 |          7 |          0 |          3 |         10 |
| app\(main)\home\premium                                                                                                    |          1 |         29 |          0 |          4 |         33 |
| app\(main)\home\results                                                                                                    |          2 |         33 |          0 |          6 |         39 |
| app\(main)\my-leagues                                                                                                      |          6 |      1,003 |         24 |         75 |      1,102 |
| app\(main)\my-leagues (Files)                                                                                              |          4 |        760 |         24 |         60 |        844 |
| app\(main)\my-leagues\[teamId]                                                                                             |          2 |        243 |          0 |         15 |        258 |
| app\(main)\onboarding                                                                                                      |         34 |      4,059 |         69 |        401 |      4,529 |
| app\(main)\onboarding (Files)                                                                                              |          3 |        119 |          1 |         13 |        133 |
| app\(main)\onboarding\(entity-onboarding)                                                                                  |         16 |      2,776 |         55 |        277 |      3,108 |
| app\(main)\onboarding\(profile-onboarding)                                                                                 |          6 |        560 |          6 |         56 |        622 |
| app\(main)\onboarding\explore                                                                                              |          2 |        268 |          4 |         21 |        293 |
| app\(main)\onboarding\profile                                                                                              |          3 |        147 |          0 |         15 |        162 |
| app\(main)\onboarding\season                                                                                               |          2 |        162 |          3 |         12 |        177 |
| app\(main)\onboarding\upgrade                                                                                              |          2 |         27 |          0 |          7 |         34 |
| app\(main)\profile                                                                                                         |          2 |        146 |          0 |         12 |        158 |
| app\(main)\rankings                                                                                                        |          4 |        253 |          7 |         26 |        286 |
| app\(main)\rankings (Files)                                                                                                |          2 |        146 |          0 |         11 |        157 |
| app\(main)\rankings\podium                                                                                                 |          2 |        107 |          7 |         15 |        129 |
| app\(main)\settings                                                                                                        |         20 |      2,048 |         27 |        199 |      2,274 |
| app\(main)\teams                                                                                                           |          6 |        132 |          0 |         23 |        155 |
| app\(main)\teams (Files)                                                                                                   |          2 |         46 |          0 |          9 |         55 |
| app\(main)\teams\[userId]                                                                                                  |          4 |         86 |          0 |         14 |        100 |
| app\(main)\teams\[userId] (Files)                                                                                          |          2 |         71 |          0 |          8 |         79 |
| app\(main)\teams\[userId]\player-stats                                                                                     |          1 |          7 |          0 |          3 |         10 |
| app\(main)\teams\[userId]\team-stats                                                                                       |          1 |          8 |          0 |          3 |         11 |
| app\auth                                                                                                                   |          5 |        622 |         12 |         70 |        704 |
| app\components                                                                                                             |         99 |     12,154 |        249 |      1,154 |     13,557 |
| app\contexts                                                                                                               |          3 |        239 |         22 |         66 |        327 |
| app\hooks                                                                                                                  |         48 |      2,653 |        128 |        479 |      3,260 |
| app\lib                                                                                                                    |          7 |      1,157 |         46 |        165 |      1,368 |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                   | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\.env                                                                      | Dotenv             |          3 |          0 |          2 |          5 |
| c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app-env.d.ts                                                              | TypeScript         |          0 |          2 |          1 |          3 |
| c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app.config.js                                                             | JavaScript         |         65 |          1 |          4 |         70 |
| c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\_layout.jsx                                                    | JavaScript JSX     |         63 |          6 |         17 |         86 |
| c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\[instanceId]\index.jsx                            | JavaScript JSX     |        825 |          9 |         68 |        902 |
| c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\_layout.jsx                                       | JavaScript JSX     |          5 |          0 |          3 |          8 |
| c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\create-blueprint\create-competition-rules.jsx     | JavaScript JSX     |          6 |          0 |          3 |          9 |
| c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\create-blueprint\index.jsx                        | JavaScript JSX     |        147 |          0 |          8 |        155 |
| c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\create-blueprint\requirements.jsx                 | JavaScript JSX     |        233 |          2 |          8 |        243 |
| c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\index.jsx                                         | JavaScript JSX     |        134 |          0 |          5 |        139 |
| c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\initiate-competition\index.jsx                    | JavaScript JSX     |        150 |          1 |          8 |        159 |
| c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\initiate-competition\modify-competition-rules.jsx | JavaScript JSX     |          6 |          0 |          3 |          9 |
| c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\[fixtureId]\[teamId]\[userId]\index.jsx                   | JavaScript JSX     |         40 |          0 |          4 |         44 |
